DATE,GFDEGDQ188S,GFDEBTN
1/1/1966,40.25934,320999
4/1/1966,39.16197,316097
7/1/1966,39.56491,324748
10/1/1966,39.44583,329319
1/1/1967,39.1169,330947
4/1/1967,37.94019,322893
7/1/1967,38.75959,335896
10/1/1967,39.0243,344663
1/1/1968,38.35579,349473
4/1/1968,36.88669,345369
7/1/1968,37.24934,354743
10/1/1968,36.9053,358029
1/1/1969,36.12007,359546
4/1/1969,34.89308,352895
7/1/1969,34.94956,360685
10/1/1969,35.38114,368226
1/1/1970,35.31059,372007
4/1/1970,34.58467,370094
7/1/1970,34.79022,378678
10/1/1970,35.65475,389158
1/1/1971,34.42291,391668
4/1/1971,34.26949,397305
7/1/1971,34.9287,412268
10/1/1971,35.53421,424131
1/1/1972,34.63621,427344
4/1/1972,33.57433,426435
7/1/1972,33.53946,433946
10/1/1972,33.66856,448473
1/1/1973,33.21595,458606
4/1/1973,32.26006,457317
7/1/1973,32.05803,460614
10/1/1973,31.71407,469073
1/1/1974,31.69128,473675
4/1/1974,30.9105,474235
7/1/1974,30.79616,481466
10/1/1974,30.7338,492664
1/1/1975,31.46912,509659
4/1/1975,32.18863,533188
7/1/1975,32.305,553647
10/1/1975,32.65529,576649
1/1/1976,32.91242,600490
4/1/1976,33.41145,620432
7/1/1976,33.57318,634701
10/1/1976,33.71536,653543
1/1/1977,33.58573,669207
4/1/1977,32.73646,674425
7/1/1977,32.92708,698840
10/1/1977,33.15063,718943
1/1/1978,33.41128,737951
4/1/1978,32.05666,749024
7/1/1978,32.16286,771544
10/1/1978,31.79518,789207
1/1/1979,31.47441,796792
4/1/1979,31.00698,804913
7/1/1979,30.95127,826519
10/1/1979,30.94864,845116
1/1/1980,30.87588,863451
4/1/1980,31.34405,877614
7/1/1980,31.73731,907701
10/1/1980,31.07407,930210
1/1/1981,30.79799,964531
4/1/1981,30.66299,971174
7/1/1981,30.59776,997855
10/1/1981,31.32991,1028729
1/1/1982,32.41787,1061299
4/1/1982,32.40885,1079630
7/1/1982,33.91775,1142035
10/1/1982,35.12737,1197074
1/1/1983,35.75799,1244493
4/1/1983,36.82027,1319581
7/1/1983,37.29998,1377211
10/1/1983,37.16167,1410702
1/1/1984,37.40929,1463741
4/1/1984,37.67614,1512697
7/1/1984,38.4664,1572267
10/1/1984,40.0946,1662966
1/1/1985,40.3759,1710731
4/1/1985,41.24866,1774640
7/1/1985,41.48542,1823103
10/1/1985,43.69854,1945942
1/1/1986,43.99169,1986816
4/1/1986,45.2083,2059349
7/1/1986,46.00597,2125304
10/1/1986,47.43301,2214835
1/1/1987,47.43696,2246724
4/1/1987,47.89621,2309296
7/1/1987,47.95985,2350277
10/1/1987,48.41479,2431715
1/1/1988,48.86543,2487551
4/1/1988,48.92088,2547656
7/1/1988,49.10255,2602183
10/1/1988,49.59421,2684392
1/1/1989,49.5879,2740898
4/1/1989,49.74608,2799923
7/1/1989,50.02894,2857431
10/1/1989,51.23662,2952994
1/1/1990,51.80858,3051958
4/1/1990,52.61808,3143754
7/1/1990,53.62486,3233313
10/1/1990,55.8631,3364820
1/1/1991,57.22981,3465189
4/1/1991,57.58808,3537988
7/1/1991,58.94263,3665303
10/1/1991,60.54338,3801698
1/1/1992,60.82763,3881288
4/1/1992,61.37512,3984656
7/1/1992,61.71094,4064621
10/1/1992,62.3662,4177009
1/1/1993,62.69214,4230580
4/1/1993,63.72194,4351950
7/1/1993,63.89553,4411489
10/1/1993,64.49293,4535687
1/1/1994,64.1214,4575869
4/1/1994,63.90509,4645802
7/1/1994,63.82736,4692750
10/1/1994,64.20179,4800150
1/1/1995,64.46554,4864116
4/1/1995,65.10746,4951372
7/1/1995,64.54244,4973983
10/1/1995,63.9614,4988665
1/1/1996,64.83835,5117786
4/1/1996,64.02101,5161076
7/1/1996,64.03706,5224811
10/1/1996,64.23461,5323172
1/1/1997,64.04251,5380890
4/1/1997,62.8647,5376151
7/1/1997,62.27908,5413146
10/1/1997,62.61024,5502388
1/1/1998,62.34638,5542426
4/1/1998,61.67978,5547935
7/1/1998,60.41852,5526193
10/1/1998,60.20188,5614217
1/1/1999,59.82379,5651615
4/1/1999,59.00154,5638780
7/1/1999,58.23834,5656271
10/1/1999,58.19094,5776091
1/1/2000,57.55532,5773392
4/1/2000,55.31961,5685938
