dateExcel1900,debtMillions,pctGDP
24108,320999,40.25934
24198,316097,39.16197
24289,324748,39.56491
24381,329319,39.44583
24473,330947,39.1169
24563,322893,37.94019
24654,335896,38.75959
24746,344663,39.0243
24838,349473,38.35579
24929,345369,36.88669
25020,354743,37.24934
25112,358029,36.9053
25204,359546,36.12007
25294,352895,34.89308
25385,360685,34.94956
25477,368226,35.38114
25569,372007,35.31059
25659,370094,34.58467
25750,378678,34.79022
25842,389158,35.65475
25934,391668,34.42291
26024,397305,34.26949
26115,412268,34.9287
26207,424131,35.53421
26299,427344,34.63621
26390,426435,33.57433
26481,433946,33.53946
26573,448473,33.66856
26665,458606,33.21595
26755,457317,32.26006
26846,460614,32.05803
26938,469073,31.71407
27030,473675,31.69128
27120,474235,30.9105
27211,481466,30.79616
27303,492664,30.7338
27395,509659,31.46912
27485,533188,32.18863
27576,553647,32.305
27668,576649,32.65529
27760,600490,32.91242
27851,620432,33.41145
27942,634701,33.57318
28034,653543,33.71536
28126,669207,33.58573
28216,674425,32.73646
28307,698840,32.92708
28399,718943,33.15063
28491,737951,33.41128
28581,749024,32.05666
28672,771544,32.16286
28764,789207,31.79518
28856,796792,31.47441
28946,804913,31.00698
29037,826519,30.95127
29129,845116,30.94864
29221,863451,30.87588
29312,877614,31.34405
29403,907701,31.73731
29495,930210,31.07407
29587,964531,30.79799
29677,971174,30.66299
29768,997855,30.59776
29860,1028729,31.32991
29952,1061299,32.41787
30042,1079630,32.40885
30133,1142035,33.91775
30225,1197074,35.12737
30317,1244493,35.75799
30407,1319581,36.82027
30498,1377211,37.29998
30590,1410702,37.16167
30682,1463741,37.40929
30773,1512697,37.67614
30864,1572267,38.4664
30956,1662966,40.0946
31048,1710731,40.3759
31138,1774640,41.24866
31229,1823103,41.48542
31321,1945942,43.69854
31413,1986816,43.99169
31503,2059349,45.2083
31594,2125304,46.00597
31686,2214835,47.43301
31778,2246724,47.43696
31868,2309296,47.89621
31959,2350277,47.95985
32051,2431715,48.41479
32143,2487551,48.86543
32234,2547656,48.92088
32325,2602183,49.10255
32417,2684392,49.59421
32509,2740898,49.5879
32599,2799923,49.74608
32690,2857431,50.02894
32782,2952994,51.23662
32874,3051958,51.80858
32964,3143754,52.61808
33055,3233313,53.62486
33147,3364820,55.8631
33239,3465189,57.22981
33329,3537988,57.58808
33420,3665303,58.94263
33512,3801698,60.54338
33604,3881288,60.82763
33695,3984656,61.37512
33786,4064621,61.71094
33878,4177009,62.3662
33970,4230580,62.69214
34060,4351950,63.72194
34151,4411489,63.89553
34243,4535687,64.49293
34335,4575869,64.1214
34425,4645802,63.90509
34516,4692750,63.82736
34608,4800150,64.20179
34700,4864116,64.46554
34790,4951372,65.10746
34881,4973983,64.54244
34973,4988665,63.9614
35065,5117786,64.83835
35156,5161076,64.02101
35247,5224811,64.03706
35339,5323172,64.23461
35431,5380890,64.04251
35521,5376151,62.8647
35612,5413146,62.27908
35704,5502388,62.61024
35796,5542426,62.34638
35886,5547935,61.67978
35977,5526193,60.41852
36069,5614217,60.20188
36161,5651615,59.82379
36251,5638780,59.00154
36342,5656271,58.23834
36434,5776091,58.19094
36526,5773392,57.55532
36617,5685938,55.31961
36708,5674179,54.78358
36800,5662216,54.06858
36892,5773740,54.9455
36982,5726815,53.83163
37073,5807464,54.58407
37165,5943439,55.53932
37257,6006032,55.43461
37347,6126469,56.02751
37438,6228236,56.43022
37530,6405707,57.68915
37622,6460776,57.531
37712,6670121,58.66084
37803,6783320,58.35045
37895,6997964,59.22033
37987,7131068,59.48305
38078,7274335,59.71675
38169,7379053,59.66369
38261,7596143,60.46843
38353,7776939,60.69224
38443,7836496,60.40116
38534,7932710,60.07151
38626,8170413,61.05694
38718,8371156,61.33207
38808,8420042,61.01571
38899,8506974,61.16386
38991,8680224,61.70906
39083,8849665,62.1761
39173,8867677,61.48582
39264,9007653,61.82467
39356,9229172,62.8462
39448,9437594,64.33943
39539,9492006,64.079
39630,10024725,67.53848
39722,10699805,73.53844
39814,11126941,77.35699
39904,11545275,80.50864
39995,11909828,82.7983
40087,12311349,84.51817
40179,12773123,87.00407
40269,13201792,88.67047
40360,13561622,90.0646
40452,14025215,92.08814
40544,14270114,93.64593
40634,14343087,92.76991
40725,14790340,94.88818
40817,15222940,96.43737
40909,15606518,97.70023
41000,15855037,98.34502
41091,16066240,99.00358
41183,16432730,100.83069
41275,16771381,101.79626
41365,16738320,101.19053
41456,16738180,99.93332
41548,17156119,100.91901
41640,17601227,103.3462
41730,17632606,101.79947
41821,17824071,101.14522
41913,18141444,102.28638
42005,18152056,101.55158
42095,18151998,100.32484
42186,18150618,99.57718
42278,18922179,103.47211
42370,19264939,105.1282
42461,19381591,104.55038
42552,19573445,104.50803
42644,19976827,105.6665
42736,19846420,104.13856
42826,19844554,103.08854
42917,20244900,103.81679
43009,20492747,103.7392
43101,21089643,105.65902
